KIND_OF_PART,SERIAL_NUMBER,BATCH_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,COMMENT_DESCRIPTION,MANUFACTURER,PRODUCTION_DATE
ECON-D,1000114,0003-PS-1800101,320ICECD1000114,ECON-D from tray 18001 at location 14,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-D,1000116,0003-PS-1800102,320ICECD1000116,ECON-D from tray 18001 at location 16,Baylor,FermiLab,Shipped on 06/27/24 (batch 0003),TSMC,05/31/24
ECON-D,1000119,0002-PS-1800001,320ICECD1000119,ECON-D from tray 18000 at location 19,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000120,0002-PS-1800002,320ICECD1000120,ECON-D from tray 18000 at location 20,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000121,0002-PS-1800003,320ICECD1000121,ECON-D from tray 18000 at location 21,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000122,0002-PS-1800004,320ICECD1000122,ECON-D from tray 18000 at location 22,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000123,0002-PS-1800005,320ICECD1000123,ECON-D from tray 18000 at location 23,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000124,0002-PS-1800006,320ICECD1000124,ECON-D from tray 18000 at location 24,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000125,0002-PS-1800007,320ICECD1000125,ECON-D from tray 18000 at location 25,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000126,0002-PS-1800008,320ICECD1000126,ECON-D from tray 18000 at location 26,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000127,0002-PS-1800009,320ICECD1000127,ECON-D from tray 18000 at location 27,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000128,0002-PS-1800010,320ICECD1000128,ECON-D from tray 18000 at location 28,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000129,0002-PS-1800011,320ICECD1000129,ECON-D from tray 18000 at location 29,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000130,0002-PS-1800012,320ICECD1000130,ECON-D from tray 18000 at location 30,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
ECON-D,1000131,0002-PS-1800013,320ICECD1000131,ECON-D from tray 18000 at location 31,Baylor,FermiLab,Shipped on 06/20/24 (batch 0002),TSMC,05/31/24
