Chip Number,Status,,Last Update,,Total,214,
1,Packaged PCB for SEU,,,,Prototype Partial CM,12,
2,Packaged PCB for SEU,,,,Failed Test,29,0.8644859813
101,Prototype Partial CM,,"Given to Paul, June 20",,Baylor,2,
102,Prototype Partial CM,,"Given to Paul, June 20",,Pass,1,
103,Prototype Partial CM,,"Given to Paul, June 20",,Preseries CM batch 1,60,
104,Prototype Partial CM,,"Given to Paul, June 20",,Preseries CM batch 2,90,
105,Prototype Partial CM,,"Given to Paul, June 20",,FSU,20,
106,Prototype Partial CM,,"Given to Paul, June 20",,,,
107,Prototype Partial CM,,"Given to Paul, June 20",,,,
108,Prototype Partial CM,,"Given to Paul, June 20",,,,
109,Prototype Partial CM,,"Given to Paul, June 20",,,,
110,Prototype Partial CM,,"Given to Paul, June 20",,,,
111,Failed Test,Bent Pins,Moved to failure tray,,,,
112,Prototype Partial CM,,"Given to Paul, June 20",,,,
113,Prototype Partial CM,,"Given to Paul, June 20",,,,
114,Preseries CM batch 2,,"Given to Paul, June 27",,,,
115,Failed Test,Buffer,Moved to failure tray,,,,
116,Preseries CM batch 2,,"Given to Paul, June 27",,,,
117,Baylor,,"Danny gave to Jon, June 25",,,,
118,Baylor,,"Danny gave to Jon, June 25",,,,
119,Preseries CM batch 1,,"Given to Paul, June 20",,,,
120,Preseries CM batch 1,,"Given to Paul, June 20",,,,
121,Preseries CM batch 1,,"Given to Paul, June 20",,,,
122,Preseries CM batch 1,,"Given to Paul, June 20",,,,
123,Preseries CM batch 1,,"Given to Paul, June 20",,,,
124,Preseries CM batch 1,,"Given to Paul, June 20",,,,
125,Preseries CM batch 1,,"Given to Paul, June 20",,,,
126,Preseries CM batch 1,,"Given to Paul, June 20",,,,
127,Preseries CM batch 1,,"Given to Paul, June 20",,,,
128,Preseries CM batch 1,,"Given to Paul, June 20",,,,
129,Preseries CM batch 1,,"Given to Paul, June 20",,,,
130,Preseries CM batch 1,,"Given to Paul, June 20",,,,
131,Preseries CM batch 1,,"Given to Paul, June 20",,,,
132,Preseries CM batch 1,,"Given to Paul, June 20",,,,
133,Preseries CM batch 1,,"Given to Paul, June 20",,,,
134,Failed Test,BIST,Moved to failure tray,,,,
135,Preseries CM batch 1,,"Given to Paul, June 20",,,,
136,Preseries CM batch 1,,"Given to Paul, June 20",,,,
137,Preseries CM batch 1,,"Given to Paul, June 20",,,,
138,Preseries CM batch 1,,"Given to Paul, June 20",,,,
139,Preseries CM batch 1,,"Given to Paul, June 20",,,,
140,Preseries CM batch 1,,"Given to Paul, June 20",,,,
141,Preseries CM batch 1,,"Given to Paul, June 20",,,,
142,Preseries CM batch 1,,"Given to Paul, June 20",,,,
143,Preseries CM batch 1,,"Given to Paul, June 20",,,,
144,Failed Test,BIST,Moved to failure tray,,,,
145,Failed Test,BIST,Moved to failure tray,,,,
146,Preseries CM batch 1,,"Given to Paul, June 20",,,,
147,Preseries CM batch 1,,"Given to Paul, June 20",,,,
148,Preseries CM batch 1,,"Given to Paul, June 20",,,,
149,Preseries CM batch 1,,"Given to Paul, June 20",,,,
150,Failed Test,BIST,Moved to failure tray,,,,
151,Failed Test,BIST,Moved to failure tray,,,,
152,Preseries CM batch 1,,"Given to Paul, June 20",,,,
