Chip Number,Status,Test Result (added Aug 5) ,Last Update,,Total,221,
1,Packaged PCB for SEU,N/A,,,Prototype Partial CM,12,
2,Packaged PCB for SEU,N/A,,,Failed Test,10,0.9547511312
101,Prototype Partial CM,N/A,"Given to Paul, June 20",,Baylor,2,
102,Prototype Partial CM,N/A,"Given to Paul, June 20",,Pass,7,
103,Prototype Partial CM,N/A,"Given to Paul, June 20",,Preseries CM,60,
104,Prototype Partial CM,N/A,"Given to Paul, June 20",,Preseries CM batch 2,90,
105,Prototype Partial CM,N/A,"Given to Paul, June 20",,FSU,40,
106,Prototype Partial CM,N/A,"Given to Paul, June 20",,,,
107,Failed Test,N/A,Moved to Failure Tray,,,,
108,Prototype Partial CM,N/A,"Given to Paul, June 20",,,,
109,Prototype Partial CM,N/A,"Given to Paul, June 20",,,,
110,Prototype Partial CM,N/A,"Given to Paul, June 20",,,,
111,Prototype Partial CM,N/A,"Given to Paul, June 20",,,,
112,Failed Test,N/A,Moved to Failure Tray,,,,
113,Prototype Partial CM,N/A,"Given to Paul, June 20",,,,
114,Prototype Partial CM,N/A,"Given to Paul, June 20",,,,
115,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
116,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
117,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
118,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
119,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
120,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
121,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
122,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
123,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
124,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
125,Preseries CM batch 2,N/A,"Given to Paul, June 27",,,,
126,Baylor,N/A,"Danny gave to Jon, June 25",,,,
127,Baylor,N/A,"Danny gave to Jon, June 25",,,,
128,Preseries CM,N/A,"Given to Paul, June 20",,,,
129,Preseries CM,N/A,"Given to Paul, June 20",,,,
130,Preseries CM,N/A,"Given to Paul, June 20",,,,
131,Preseries CM,N/A,"Given to Paul, June 20",,,,
132,Failed Test,N/A,Moved to Failure Tray,,,,
133,Preseries CM,N/A,"Given to Paul, June 20",,,,
134,Preseries CM,N/A,"Given to Paul, June 20",,,,
135,Preseries CM,N/A,"Given to Paul, June 20",,,,
136,Preseries CM,N/A,"Given to Paul, June 20",,,,
137,Preseries CM,N/A,"Given to Paul, June 20",,,,
138,Preseries CM,N/A,"Given to Paul, June 20",,,,
139,Preseries CM,N/A,"Given to Paul, June 20",,,,
140,Preseries CM,N/A,"Given to Paul, June 20",,,,
141,Preseries CM,N/A,"Given to Paul, June 20",,,,
142,Preseries CM,N/A,"Given to Paul, June 20",,,,
143,Preseries CM,N/A,"Given to Paul, June 20",,,,
144,Preseries CM,N/A,"Given to Paul, June 20",,,,
145,Preseries CM,N/A,"Given to Paul, June 20",,,,
146,Preseries CM,N/A,"Given to Paul, June 20",,,,
147,Preseries CM,N/A,"Given to Paul, June 20",,,,
148,Preseries CM,N/A,"Given to Paul, June 20",,,,
149,Preseries CM,N/A,"Given to Paul, June 20",,,,
150,Preseries CM,N/A,"Given to Paul, June 20",,,,
151,Preseries CM,N/A,"Given to Paul, June 20",,,,
